Geo Point;Löv- eller barrträd;Trädart vetenskapligt namn;Trädart svenskt namn;Gatu- eller parkträd;Planteringsdatum
63.70784165078529, 20.364642482272256;Lövträd;Malus Sp.;Prydnadsapel;Parkträd;
63.84146037578479, 20.276349456878506;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.801498144704134, 20.30770801940852;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.8180199943285, 20.308710997225702;Lövträd;Sorbus Intermedia;Oxel;Gatuträd;2010-07-01
63.81537022359847, 20.292847097386066;Lövträd;Sorbus Commixta-Gruppen Birgitta E;Commixta-Rönn Birgitta E;Parkträd;2017-06-30
63.8294277793925, 20.298722083670732;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.80116710155143, 20.355457484047804;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.848937354352366, 20.309538327288944;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83119085559824, 20.26087172597766;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.817553940618275, 20.29487719655886;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.703967077567995, 20.312434824978972;Lövträd;Betula Sp.;Björk;Parkträd;
63.85271060631233, 20.313529407216045;Lövträd;Betula Sp.;Björk;Parkträd;
63.834941540818306, 20.24850872139074;Lövträd;Prunus Maackii;Näverhägg;;2021-05-24
63.82257633330518, 20.282522467063494;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;2011-07-01
63.83821445590027, 20.224266206853798;Lövträd;Acer Platanoides;Skogslönn;Parkträd;
63.836124077670725, 20.31745333581325;Lövträd;Betula Sp.;Björk;Parkträd;
63.82980074426791, 20.303345806788442;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.828163498588204, 20.260558903708507;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.80108899477229, 20.35574199782006;Lövträd;Betula Sp.;Björk;Parkträd;2014-10-16
63.83344367888502, 20.187780642155754;Barrträd;Picea Abies;Gran;Parkträd;
63.82531011144486, 20.257351128685464;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.81880672477739, 20.224068147002136;Lövträd;Malus Domestica Mantet;Äpple Mantet;Parkträd;2018-06-30
63.809173864745475, 20.377671398449735;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2013-06-30
63.80909873504867, 20.37608420907454;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2013-06-30
63.83876409725958, 20.23265321827085;Lövträd;Betula Sp.;Björk;Parkträd;
63.713088992980836, 20.379427997685482;Lövträd;Betula Pendula Splendor White;Vårtbjörk Splendor White;Gatuträd;2011-07-01
63.84474367829725, 20.313497695081033;Lövträd;Betula Sp.;Björk;Parkträd;
63.80651492472982, 20.322312838534028;Barrträd;Pinus Nigra;Svarttall;Parkträd;2022-05-22
63.81864825907844, 20.21653433610984;Lövträd;Betula Sp.;Björk;Parkträd;
63.834633000674835, 20.279640673828517;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;2011-07-01
63.8027987027695, 20.36615061605341;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2012-07-01
63.80751618738696, 20.180006756358882;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.847283201746706, 20.31808349800332;Lövträd;Betula Sp.;Björk;Parkträd;
63.82032270410467, 20.257335088394495;Lövträd;Betula Sp.;Björk;Parkträd;
63.82314353727064, 20.289159692321522;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.857626244148115, 20.311593969557844;Lövträd;Betula Sp.;Björk;Parkträd;
63.81735150004432, 20.286687502908396;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83696417713687, 20.20917216369876;Lövträd;Betula Sp.;Björk;Parkträd;
63.8329487342215, 20.231992994218007;Lövträd;Betula Sp.;Björk;Parkträd;
63.80771751229059, 20.31718819035666;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.83273308872982, 20.326219569306375;Lövträd;Betula Sp.;Björk;Parkträd;
63.83317953785187, 20.236397685542173;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.71479322089835, 20.36330347766705;Lövträd;Salix Caprea;Sälg;Parkträd;
63.812339279300836, 20.298679174056442;Lövträd;Betula Sp.;Björk;Parkträd;
63.83193385964227, 20.225799756389307;Lövträd;Betula Sp.;Björk;Gatuträd;
63.83188309104026, 20.160118183795174;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
